2026-01-28T09:32:50.091532429Z I0128 09:32:50.091512       1 nodelink_controller.go:371] Found node "ip-10-0-102-200.us-west-1.compute.internal" for machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0" with providerID "aws:///us-west-1c/i-0ef0478c5528c9769"
2026-01-28T09:32:50.091683012Z I0128 09:32:50.091669       1 nodelink_controller.go:295] Watched machine event, finding node to reconcile.Request
2026-01-28T09:32:50.091877745Z I0128 09:32:50.091862       1 nodelink_controller.go:338] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0"
2026-01-28T09:32:50.091966777Z I0128 09:32:50.091952       1 nodelink_controller.go:355] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0" by providerID
2026-01-28T09:32:50.092195590Z I0128 09:32:50.091763       1 nodelink_controller.go:191] Reconciling Node /ip-10-0-102-200.us-west-1.compute.internal
2026-01-28T09:32:50.092357493Z I0128 09:32:50.092202       1 nodelink_controller.go:371] Found node "ip-10-0-102-200.us-west-1.compute.internal" for machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0" with providerID "aws:///us-west-1c/i-0ef0478c5528c9769"
2026-01-28T09:32:50.092357493Z I0128 09:32:50.092352       1 nodelink_controller.go:413] Finding machine from node "ip-10-0-102-200.us-west-1.compute.internal"
2026-01-28T09:32:50.092380094Z I0128 09:32:50.092359       1 nodelink_controller.go:430] Finding machine from node "ip-10-0-102-200.us-west-1.compute.internal" by ProviderID
2026-01-28T09:32:50.092463265Z I0128 09:32:50.092446       1 nodelink_controller.go:446] Found machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0" for node "ip-10-0-102-200.us-west-1.compute.internal" with providerID "aws:///us-west-1c/i-0ef0478c5528c9769"
2026-01-28T09:32:50.112545717Z I0128 09:32:50.112510       1 nodelink_controller.go:109] Adding internal IP "10.0.102.200" for machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0" to indexer
2026-01-28T09:32:50.112618088Z I0128 09:32:50.112602       1 nodelink_controller.go:70] Adding providerID "aws:///us-west-1c/i-0ef0478c5528c9769" for machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0" to indexer
2026-01-28T09:32:50.112649929Z I0128 09:32:50.112637       1 nodelink_controller.go:70] Adding providerID "aws:///us-west-1c/i-0ef0478c5528c9769" for machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0" to indexer
2026-01-28T09:32:50.112739920Z I0128 09:32:50.112725       1 nodelink_controller.go:295] Watched machine event, finding node to reconcile.Request
2026-01-28T09:32:50.112881863Z I0128 09:32:50.112848       1 nodelink_controller.go:338] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0"
2026-01-28T09:32:50.112942464Z I0128 09:32:50.112929       1 nodelink_controller.go:355] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0" by providerID
2026-01-28T09:32:50.113059916Z I0128 09:32:50.113043       1 nodelink_controller.go:371] Found node "ip-10-0-102-200.us-west-1.compute.internal" for machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0" with providerID "aws:///us-west-1c/i-0ef0478c5528c9769"
2026-01-28T09:32:50.113122867Z I0128 09:32:50.113111       1 nodelink_controller.go:295] Watched machine event, finding node to reconcile.Request
2026-01-28T09:32:50.113199518Z I0128 09:32:50.113187       1 nodelink_controller.go:338] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0"
2026-01-28T09:32:50.113228968Z I0128 09:32:50.113217       1 nodelink_controller.go:355] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0" by providerID
2026-01-28T09:32:50.113342600Z I0128 09:32:50.113317       1 nodelink_controller.go:371] Found node "ip-10-0-102-200.us-west-1.compute.internal" for machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0" with providerID "aws:///us-west-1c/i-0ef0478c5528c9769"
