2026-01-28T09:31:41.498183276Z I0128 09:31:41.498169       1 pod_watcher.go:132] Operand /, Kind= openshift-network-node-identity/network-node-identity updated, re-generating status
2026-01-28T09:31:41.498222226Z I0128 09:31:41.498209       1 pod_watcher.go:132] Operand /, Kind= openshift-network-operator/iptables-alerter updated, re-generating status
2026-01-28T09:31:41.498263097Z I0128 09:31:41.498250       1 pod_watcher.go:132] Operand /, Kind= openshift-ovn-kubernetes/ovnkube-node updated, re-generating status
2026-01-28T09:31:41.498367990Z I0128 09:31:41.498351       1 warnings.go:110] "Warning: v1 Endpoints is deprecated in v1.33+; use discovery.k8s.io/v1 EndpointSlice"
2026-01-28T09:31:41.498637086Z I0128 09:31:41.498619       1 reflector.go:430] "Caches populated" type="*v1.Proxy" reflector="k8s.io/client-go@v0.33.3/tools/cache/reflector.go:285"
2026-01-28T09:31:41.498813810Z I0128 09:31:41.498796       1 reflector.go:430] "Caches populated" type="*v1.Endpoints" reflector="k8s.io/client-go@v0.33.3/tools/cache/reflector.go:285"
2026-01-28T09:31:41.498950873Z I0128 09:31:41.498919       1 reflector.go:430] "Caches populated" type="*v1.EgressRouter" reflector="k8s.io/client-go@v0.33.3/tools/cache/reflector.go:285"
2026-01-28T09:31:41.499002264Z I0128 09:31:41.498647       1 reflector.go:430] "Caches populated" type="*v1.OperatorPKI" reflector="k8s.io/client-go@v0.33.3/tools/cache/reflector.go:285"
2026-01-28T09:31:41.499473665Z I0128 09:31:41.499452       1 reflector.go:430] "Caches populated" type="*v1.Node" reflector="k8s.io/client-go@v0.33.3/tools/cache/reflector.go:285"
2026-01-28T09:31:41.499816642Z I0128 09:31:41.499478       1 reflector.go:430] "Caches populated" type="*v1.Infrastructure" reflector="k8s.io/client-go@v0.33.3/tools/cache/reflector.go:285"
2026-01-28T09:31:41.501645443Z I0128 09:31:41.501626       1 log.go:245] trusted-ca-bundle changed, updating 18 configMaps
2026-01-28T09:31:41.502319068Z I0128 09:31:41.502304       1 log.go:245] ConfigMap openshift-cloud-credential-operator/cco-trusted-ca ca-bundle.crt unchanged, skipping
2026-01-28T09:31:41.502367159Z I0128 09:31:41.502356       1 log.go:245] ConfigMap openshift-cluster-node-tuning-operator/trusted-ca ca-bundle.crt unchanged, skipping
2026-01-28T09:31:41.502407060Z I0128 09:31:41.502396       1 log.go:245] ConfigMap openshift-console-operator/trusted-ca ca-bundle.crt unchanged, skipping
2026-01-28T09:31:41.502445121Z I0128 09:31:41.502435       1 log.go:245] ConfigMap openshift-image-registry/trusted-ca ca-bundle.crt unchanged, skipping
2026-01-28T09:31:41.502483952Z I0128 09:31:41.502474       1 log.go:245] ConfigMap openshift-insights/trusted-ca-bundle ca-bundle.crt unchanged, skipping
2026-01-28T09:31:41.502525463Z I0128 09:31:41.502515       1 log.go:245] ConfigMap openshift-kube-controller-manager/trusted-ca-bundle ca-bundle.crt unchanged, skipping
2026-01-28T09:31:41.502564634Z I0128 09:31:41.502554       1 log.go:245] ConfigMap openshift-authentication/v4-0-config-system-trusted-ca-bundle ca-bundle.crt unchanged, skipping
2026-01-28T09:31:41.502601835Z I0128 09:31:41.502592       1 log.go:245] ConfigMap openshift-catalogd/catalogd-trusted-ca-bundle ca-bundle.crt unchanged, skipping
2026-01-28T09:31:41.502638616Z I0128 09:31:41.502628       1 log.go:245] ConfigMap openshift-cloud-network-config-controller/trusted-ca ca-bundle.crt unchanged, skipping
