2026-01-28T09:32:04.582785383Z I0128 09:32:04.581850       1 base_controller.go:76] Waiting for caches to sync for kube-apiserver-Node
2026-01-28T09:32:04.582825485Z I0128 09:32:04.581855       1 base_controller.go:76] Waiting for caches to sync for BackingResourceController-StaticResources
2026-01-28T09:32:04.582848896Z I0128 09:32:04.581858       1 base_controller.go:76] Waiting for caches to sync for cluster-kube-apiserver-operator-UnsupportedConfigOverrides
2026-01-28T09:32:04.582877718Z I0128 09:32:04.581862       1 base_controller.go:76] Waiting for caches to sync for LoggingSyncer
2026-01-28T09:32:04.582902869Z I0128 09:32:04.581865       1 base_controller.go:76] Waiting for caches to sync for GuardController
2026-01-28T09:32:04.582934791Z I0128 09:32:04.581891       1 base_controller.go:76] Waiting for caches to sync for openshift-kube-apiserver-EncryptionKey
2026-01-28T09:32:04.582957932Z I0128 09:32:04.581895       1 base_controller.go:76] Waiting for caches to sync for CertRotationTimeUpgradeableController
2026-01-28T09:32:04.583004324Z I0128 09:32:04.581905       1 termination_observer.go:145] Starting TerminationObserver
2026-01-28T09:32:04.583047306Z I0128 09:32:04.581912       1 base_controller.go:76] Waiting for caches to sync for EventWatchController
2026-01-28T09:32:04.583078468Z I0128 09:32:04.581916       1 base_controller.go:76] Waiting for caches to sync for PodSecurityReadinessController
2026-01-28T09:32:04.583105949Z I0128 09:32:04.583095       1 base_controller.go:82] Caches are synced for PodSecurityReadinessController 
2026-01-28T09:32:04.583132601Z I0128 09:32:04.583122       1 base_controller.go:119] Starting #1 worker of PodSecurityReadinessController controller ...
2026-01-28T09:32:04.583173812Z I0128 09:32:04.581920       1 base_controller.go:76] Waiting for caches to sync for WorkerLatencyProfile
2026-01-28T09:32:04.583313979Z I0128 09:32:04.581925       1 base_controller.go:76] Waiting for caches to sync for kube-apiserver-RemoveStaleConditions
2026-01-28T09:32:04.583346111Z I0128 09:32:04.581929       1 base_controller.go:76] Waiting for caches to sync for ConnectivityCheckController
2026-01-28T09:32:04.583369492Z I0128 09:32:04.581939       1 base_controller.go:76] Waiting for caches to sync for KubeletVersionSkewController
2026-01-28T09:32:04.583392583Z I0128 09:32:04.581943       1 base_controller.go:76] Waiting for caches to sync for ServiceAccountIssuerController
2026-01-28T09:32:04.583413464Z I0128 09:32:04.581946       1 base_controller.go:76] Waiting for caches to sync for webhookSupportabilityController
2026-01-28T09:32:04.583436236Z I0128 09:32:04.582075       1 base_controller.go:76] Waiting for caches to sync for openshift-kube-apiserver-EncryptionState
2026-01-28T09:32:04.583460217Z I0128 09:32:04.582083       1 base_controller.go:76] Waiting for caches to sync for openshift-kube-apiserver-EncryptionPrune
2026-01-28T09:32:04.583492158Z I0128 09:32:04.582090       1 base_controller.go:76] Waiting for caches to sync for openshift-kube-apiserver-EncryptionMigration
2026-01-28T09:32:04.583516300Z I0128 09:32:04.582095       1 base_controller.go:76] Waiting for caches to sync for highCPUUsageAlertController
2026-01-28T09:32:04.583942261Z I0128 09:32:04.583925       1 base_controller.go:76] Waiting for caches to sync for StatusSyncer_kube-apiserver
2026-01-28T09:32:04.684225823Z I0128 09:32:04.684178       1 base_controller.go:82] Caches are synced for SCCReconcileController 
2026-01-28T09:32:04.686170729Z I0128 09:32:04.686145       1 base_controller.go:119] Starting #1 worker of SCCReconcileController controller ...
